"customers_id";"customers_firstname";"customers_lastname";"customers_phone";"customers_email";"customers_startdate";"fk_customer_types"
1;"Quail";"Munoz";"367-0454";"magnis@vitaevelitegestas.co.uk";"2021-01-03 00:00:00";2
2;"Armand";"Smith";"555-2822";"nunc@senectuset.net";"2021-01-22 00:00:00";1
3;"Kim";"Mcdonald";"345-8416";"adipiscing.non.luctus@massainteger.edu";"2021-01-30 00:00:00";1
4;"Clare";"Pennington";"372-7434";"sapien.cras@egestasurna.net";"2020-01-05 00:00:00";2
5;"Hyatt";"Terrell";"952-1689";"urna.suscipit.nonummy@semperpretium.org";"2020-01-04 00:00:00";2
6;"Ian";"Powers";"633-8438";"suspendisse.commodo@volutpatnulla.ca";"2020-01-25 00:00:00";2
7;"Matthew";"Villarreal";"546-7503";"eget@estmauris.edu";"2020-01-12 00:00:00";2
8;"Todd";"Burns";"688-6575";"sed@faucibus.net";"2021-01-06 00:00:00";2
9;"Thor";"Merritt";"656-8156";"hendrerit.donec@magnasedeu.net";"2021-01-23 00:00:00";1
10;"Jonah";"Page";"598-7734";"amet@diamsed.co.uk";"2021-01-27 00:00:00";2
11;"Baxter";"Bridges";"419-8425";"integer.in@malesuadaaugue.net";"2021-01-26 00:00:00";2
12;"Lionel";"Fox";"435-1448";"eu@nullamagna.org";"2021-01-21 00:00:00";1
13;"Hoyt";"Osborn";"448-7521";"nostra.per.inceptos@eget.org";"2021-01-26 00:00:00";1
14;"Hadley";"Gardner";"857-8457";"aliquet.molestie@praesent.com";"2020-01-14 00:00:00";1
15;"Salvador";"Webster";"375-2722";"aliquet.odio@bibendum.edu";"2021-01-17 00:00:00";1
16;"Alan";"Collier";"524-0661";"non.luctus@ligulaeu.org";"2021-01-23 00:00:00";2
17;"Alvin";"Quinn";"859-0732";"semper.pretium@utaliquam.org";"2020-01-22 00:00:00";2
18;"Aquila";"Wells";"550-4287";"lectus.sit.amet@aliquamrutrumlorem.edu";"2020-01-17 00:00:00";2
19;"Madaline";"Whitfield";"141-8567";"donec.felis@lacusaliquamrutrum.com";"2021-01-11 00:00:00";1
20;"Kerry";"Nicholson";"740-8734";"tristique.pharetra@gravidasit.org";"2020-01-13 00:00:00";1
21;"Alfonso";"Bradley";"833-8793";"cursus.in@justo.net";"2021-01-10 00:00:00";2
22;"Quynn";"Henderson";"575-2242";"tempus.risus@eratnonummy.org";"2021-01-17 00:00:00";2
23;"Lunea";"Mathis";"301-4167";"penatibus.et@nullaaliquet.org";"2021-01-30 00:00:00";2
24;"Wilma";"Ramos";"237-2149";"et.rutrum.eu@pellentesquesed.co.uk";"2020-01-06 00:00:00";1
25;"Kibo";"Abbott";"500-9182";"nulla.facilisi@semperauctormauris.edu";"2021-01-22 00:00:00";2
26;"Fiona";"Richards";"636-0715";"amet.nulla.donec@afeugiat.ca";"2021-01-29 00:00:00";1
27;"Melissa";"Espinoza";"788-3770";"pharetra@laoreetlectus.ca";"2021-01-01 00:00:00";2
28;"Juliet";"Perry";"569-7510";"hendrerit@aliquetnec.com";"2021-01-18 00:00:00";2
29;"Blythe";"Nguyen";"971-4386";"facilisis.eget@maurissuspendisse.ca";"2021-01-11 00:00:00";1
30;"Lee";"Estes";"841-8091";"donec.consectetuer@temporbibendumdonec.edu";"2021-01-16 00:00:00";2
31;"Colby";"Boone";"146-0866";"eu.eleifend.nec@ametnulla.co.uk";"2021-01-07 00:00:00";1
32;"Nissim";"Dawson";"472-0214";"aliquam.erat@nullamagna.ca";"2021-01-08 00:00:00";1
33;"Lester";"Whitley";"289-8481";"enim.sed@milacinia.net";"2021-01-26 00:00:00";2
34;"Erich";"Knapp";"848-2161";"scelerisque.neque@atpretiumaliquet.ca";"2021-01-15 00:00:00";1
35;"Brent";"Mueller";"408-7414";"ante@rutrum.co.uk";"2021-01-15 00:00:00";1
36;"Samson";"Pruitt";"156-1525";"consectetuer.rhoncus@lectus.co.uk";"2021-01-13 00:00:00";1
37;"Jonas";"Fitzpatrick";"382-5877";"nunc@aceleifend.co.uk";"2021-01-11 00:00:00";2
38;"Igor";"Mccarty";"762-9607";"proin.sed.turpis@sociisnatoque.co.uk";"2021-01-26 00:00:00";1
39;"Aline";"Rose";"933-7315";"ac.turpis@at.co.uk";"2021-01-25 00:00:00";1
40;"Gray";"Dean";"452-4035";"egestas.aliquam@idblandit.edu";"2021-01-31 00:00:00";2
41;"Nichole";"Romero";"233-8871";"placerat.augue@eratin.com";"2020-01-20 00:00:00";2
